user,sha,files_changed,core_files,additions,deletions,total_changes
github-actions[bot],f2687dc1bb01f4cb62eee90e656b61c38c2aaf6a,1,0,1,0,1
github-actions[bot],862c3f4f94bcffdedb62589632fe650adce92f6a,1,0,1,0,1
tiangolo,052d6e86c21dc83a7ad458a2b620145b91a1b4b8,1,0,211,220,431
tiangolo,31c7ffcdfebe32ca6b2feb7b33260aff3880c268,1,0,221,221,442
github-actions[bot],6854be9ebcef23edf2bd34f6e4833e731031eccc,1,0,1,0,1
tiangolo,258deb925d9d65f2d75392a2b941d6b072e305b4,3,0,108,93,201
github-actions[bot],53d2453d1a77f3384a1648d717f8ddafb5e9e460,1,0,1,0,1
tiangolo,d9b7b65b8139eca2a3a2b61c9a024ffd970d5c3c,12,0,838,963,1801
github-actions[bot],9ed5f246ed97a5806f2ea2dd531f1c18b0bd17db,1,0,1,0,1
tiangolo,edf799577539de24b5ff52381dcc4830803fffbb,1,0,52,0,52
github-actions[bot],47391ea8fbdfcedf6ff3f4a56666ccf928ca10c2,1,0,1,0,1
tiangolo,3b1b4f034bebddb873d4bd8c1bb5f52aaae17240,1,0,6,2,8
github-actions[bot],f362fdc2346d4c373c714263b9467a5edc1c420f,1,0,1,0,1
github-actions[bot],4ce34686d98eae741f858f93f239c96baba83e01,1,0,4,0,4
tiangolo,dbe83f3919c6de3438b572b8395e8bed9f0060d6,1,0,54,0,54
github-actions[bot],13743e115a2a842e0c0076041f750660305c6b77,1,0,1,0,1
tiangolo,52842fb8d371ad1517dbac48950d55e9cfa5f64f,1,0,46,0,46
tiangolo,4d4fb28f9f7331d758a0da908804348b5a0ba719,1,0,2,2,4
github-actions[bot],a1735d6d119a7f8a33dd0f20d0cf0bb1b1f631c5,1,0,1,0,1
tiangolo,1b42639296b47f1344e24c1789f649caabbee67c,5,0,64,177,241
github-actions[bot],ded035a421a9eb11d23b51016b626bbe2433493f,1,0,4,0,4
tiangolo,44c849c4fc3636f54eae74ab4e586c8ca9f3fb59,104,0,4073,8008,12081
tiangolo,8322a4445a3b25acd9b26b61192571b2d92f9bcd,2,0,3,1,4
github-actions[bot],4b2cfcfd34d0b2e158a05b377426e0c8376b94de,1,0,4,0,4
tiangolo,e3006305518a56ea35f62a31748ad26fe4356fcc,55,0,337,8784,9121
github-actions[bot],1b3bea8b6be2220cc1544653ea785d2134fcb35b,1,0,4,0,4
tiangolo,34e884156f38dff4094a7764ff895c4d4b872060,1,0,131,137,268
