pr_number,reviewer,state
14654,YuriiMotov,COMMENTED
14649,YuriiMotov,COMMENTED
14644,YuriiMotov,COMMENTED
14641,YuriiMotov,APPROVED
14622,Pyth3rEx,APPROVED
14618,Pyth3rEx,CHANGES_REQUESTED
14598,alejsdev,APPROVED
14598,alejsdev,COMMENTED
14593,tiangolo,APPROVED
14589,hard-coders,APPROVED
14587,mezgoodle,APPROVED
14580,Pyth3rEx,COMMENTED
14580,YuriiMotov,COMMENTED
14580,Pyth3rEx,APPROVED
14580,YuriiMotov,COMMENTED
14580,YuriiMotov,COMMENTED
14580,YuriiMotov,COMMENTED
14580,YuriiMotov,COMMENTED
14580,YuriiMotov,COMMENTED
14580,Pyth3rEx,COMMENTED
14580,Pyth3rEx,COMMENTED
14580,Pyth3rEx,COMMENTED
14580,Pyth3rEx,CHANGES_REQUESTED
14578,Pyth3rEx,APPROVED
14575,johnslavik,COMMENTED
14575,johnslavik,COMMENTED
14573,YuriiMotov,COMMENTED
14573,YuriiMotov,APPROVED
14571,YuriiMotov,COMMENTED
14569,tiangolo,APPROVED
14568,dolfinus,COMMENTED
14567,dolfinus,COMMENTED
14562,marcelomarkus,APPROVED
14562,SBillion,APPROVED
14562,tiangolo,COMMENTED
14562,SBillion,COMMENTED
14556,SBillion,APPROVED
14555,tiangolo,APPROVED
