worker_id,platform,location,daily_earnings,weekly_earnings,monthly_earnings,working_hours,completed_orders,platform_rating,fuel_expenses,maintenance_cost,business_expenses,upi_transactions,cash_transactions,monthly_expenses,savings,average_bank_balance,loan_history,repayment_history,years_of_experience,days_active,weekend_income,festival_income,family_size,dependents,repayment_capability_score,risk_level,eligible_loan_amount,recommended_daily_repayment,default_probability
GIG-100001,Swiggy,Mumbai,710.8419586835778,3963.31,17042.23,48.6,434,4.58,2115.23,2004.04,4119.27,102,15,13630.720000000001,1995.51,3900.35,1,0.79,3.3,1007,2198.59,3753.09,4,2,52.7,HIGH,20000.0,124.44,0.1938
GIG-100002,Ola,Hyderabad,1209.9865664083459,7463.81,32094.38,57.7,530,4.44,4945.9,1450.8,6396.7,113,18,25243.21,6071.87,21379.01,1,0.74,3.2,938,3477.42,3507.6,4,3,69.3,MEDIUM,58000.0,360.89,0.0996
GIG-100003,Swiggy,Kolkata,1019.6923411588152,6021.51,25892.49,49.1,587,3.86,8128.09,2641.31,10769.4,89,9,25913.260000000002,500.0,1497.37,2,0.81,0.8,212,2871.51,5420.39,3,2,49.7,HIGH,31000.0,192.89,0.1711
GIG-100004,Swiggy,Hyderabad,482.93594562304315,3168.11,13622.87,40.6,326,4.66,1836.48,935.58,2772.06,138,20,7934.68,4807.89,14703.71,0,1.0,6.5,1460,1432.14,3348.52,3,2,71.0,MEDIUM,25000.0,155.56,0.1184
GIG-100005,Ola,Kolkata,1074.796457446883,6907.95,29704.18,54.0,470,4.66,6498.06,2430.36,8928.42,122,22,22499.82,3675.43,6504.51,1,0.97,5.3,1460,3233.66,6304.87,3,1,66.1,MEDIUM,53000.0,329.78,0.1204
GIG-100006,Urban Company,Mumbai,576.7311452149825,3869.06,16636.96,44.3,397,4.8,4670.57,913.8,5584.37,107,21,15119.669999999998,1085.98,3821.13,0,1.0,2.2,678,1757.01,3771.28,3,2,57.5,HIGH,20000.0,124.44,0.2141
GIG-100007,Zepto,Pune,400.0,2262.33,9728.02,48.8,455,4.05,2176.72,936.24,3112.96,119,8,7402.12,2067.06,8074.18,0,1.0,6.6,1460,1068.04,2807.33,3,2,63.4,MEDIUM,18000.0,112.0,0.1002
GIG-100008,Ola,Pune,948.5867518081953,5395.91,23202.41,49.8,469,3.93,5903.32,2341.81,8245.13,112,39,17744.41,4318.84,10449.25,0,1.0,0.9,246,2648.04,6894.13,4,3,72.0,MEDIUM,42000.0,261.33,0.1268
GIG-100009,Zepto,Delhi NCR,1697.3117337874617,10465.15,45000.14,53.0,429,3.84,11618.48,3192.26,14810.74,109,30,41099.03,2165.15,5093.87,2,0.87,2.9,862,4381.1,10306.59,4,2,59.0,HIGH,54000.0,336.0,0.164
GIG-100010,Urban Company,Mumbai,1164.6218504863064,6934.13,29816.76,48.1,482,4.82,8228.68,2724.13,10952.810000000001,143,27,22015.870000000003,4404.78,16502.0,0,1.0,7.2,1460,3471.46,8331.46,2,0,69.3,MEDIUM,54000.0,336.0,0.1039
GIG-100011,Swiggy,Kolkata,683.043775979073,3967.41,17059.86,51.3,629,4.5,4944.71,1579.9,6524.610000000001,93,16,14919.380000000001,1150.44,2783.25,0,1.0,5.7,1460,1817.11,4252.99,6,4,55.5,HIGH,20000.0,124.44,0.2692
GIG-100012,Blinkit,Hyderabad,1389.5141371626082,8947.34,38473.56,43.9,402,4.49,5979.64,4433.57,10413.21,201,29,33054.21,4692.86,11382.05,2,0.79,4.3,1305,3646.94,4034.46,6,5,68.2,MEDIUM,69000.0,429.33,0.0908
GIG-100013,Zomato,Hyderabad,775.8836832759828,5211.61,22409.92,41.9,475,3.73,5445.64,2671.36,8117.0,146,35,16745.29,4006.77,14798.74,0,1.0,6.9,1460,2294.15,4796.0,4,2,68.6,MEDIUM,40000.0,248.89,0.1248
