worker_id,platform,city_tier,avg_monthly_income,income_stability,income_velocity,working_hours,order_completion,platform_rating,fuel_ratio,expense_ratio,savings_ratio,gig_tenure_months,failed_autopays,credit_score,recommended_loan,risk_category,default_probability
GIG-10001,Swiggy,Tier 1,31973.71,0.879,8.19,60,0.784,4.94,0.37,0.385,0.177,50,0,725,85000,Moderate Risk,0.0843
GIG-10002,Urban Company,Tier 1,11000.0,0.707,8.14,37,0.945,3.8,0.274,0.537,0.134,17,0,583,24000,High Risk,0.1841
GIG-10003,Uber,Tier 3,23194.89,0.499,3.38,53,0.845,4.27,0.284,0.374,0.195,9,1,561,48000,High Risk,0.3379
GIG-10004,Swiggy,Tier 3,29749.11,0.554,1.99,52,0.855,3.92,0.283,0.356,0.231,30,0,635,69000,High Risk,0.3474
GIG-10005,Zomato,Tier 1,22584.62,0.409,13.88,36,0.961,4.42,0.219,0.325,0.375,8,0,650,54000,Moderate Risk,0.1184
GIG-10006,Ola,Tier 1,34678.36,0.71,-1.45,59,0.884,4.27,0.248,0.31,0.381,35,0,704,90000,Moderate Risk,0.1109
GIG-10007,Zomato,Tier 3,28734.09,0.544,2.88,40,0.814,4.88,0.362,0.553,0.02,15,1,606,64000,High Risk,0.3292
GIG-10008,Zepto,Tier 1,29404.43,0.297,7.96,47,0.781,4.26,0.245,0.389,0.304,31,0,631,68000,High Risk,0.2538
GIG-10009,Urban Company,Tier 1,31232.41,0.409,4.81,28,0.843,3.92,0.131,0.544,0.225,51,0,645,74000,Moderate Risk,0.0792
GIG-10010,Uber,Tier 3,25927.77,0.579,16.43,52,0.83,4.58,0.23,0.553,0.104,30,0,645,61000,Moderate Risk,0.0633
GIG-10011,Blinkit,Tier 2,23469.62,0.533,11.49,32,0.817,4.52,0.236,0.675,0.025,12,0,624,54000,High Risk,0.282
GIG-10012,Ola,Tier 2,32448.97,0.565,7.6,52,0.851,4.02,0.338,0.659,0.02,9,1,579,69000,High Risk,0.1823
GIG-10013,Swiggy,Tier 2,29858.03,0.315,6.75,32,0.925,4.46,0.187,0.585,0.154,9,0,635,70000,High Risk,0.3198
GIG-10014,Blinkit,Tier 2,38147.12,0.548,-3.9,36,0.984,4.08,0.388,0.552,0.02,41,0,623,87000,High Risk,0.189
GIG-10015,Urban Company,Tier 1,49761.35,0.468,3.76,52,0.983,4.93,0.376,0.418,0.117,49,1,625,114000,High Risk,0.2614
GIG-10016,Porter,Tier 3,23896.28,0.362,5.58,33,0.964,4.6,0.329,0.581,0.02,10,0,602,53000,High Risk,0.3234
GIG-10017,Zepto,Tier 1,32110.29,0.606,18.31,54,0.947,4.82,0.221,0.45,0.27,38,0,706,83000,Moderate Risk,0.1034
GIG-10018,Urban Company,Tier 3,23722.7,0.772,0.28,55,0.807,4.27,0.351,0.386,0.151,42,0,652,57000,Moderate Risk,0.1033
GIG-10019,Blinkit,Tier 3,22787.2,0.491,15.48,38,0.837,4.15,0.144,0.31,0.4,15,1,613,51000,High Risk,0.1847
GIG-10020,Swiggy,Tier 1,41290.41,0.795,-7.61,54,0.981,4.59,0.286,0.545,0.077,45,0,704,107000,Moderate Risk,0.0612
GIG-10021,Ola,Tier 2,22338.64,0.164,-7.95,43,0.871,4.09,0.305,0.554,0.086,8,0,542,44000,Very High Risk,0.6512
GIG-10022,Ola,Tier 1,46783.98,0.55,5.7,41,0.977,4.35,0.236,0.557,0.111,27,0,684,117000,Moderate Risk,0.1369
GIG-10023,Urban Company,Tier 2,32706.54,0.655,-1.22,41,0.926,4.43,0.383,0.594,0.02,43,0,648,78000,Moderate Risk,0.1245
GIG-10024,Blinkit,Tier 1,22318.98,0.364,10.47,42,0.96,4.13,0.345,0.602,0.02,26,2,517,42000,Very High Risk,0.4688
