tenure_years,monthly_hours,performance_rating,department,work_arrangement,attrition
4,139,3,support,office,stay
1,172,3,,office,stay
1,171,4,operations,hybrid,stay
3,215,3,sales,office,leave
1,197,4,engineering,remote,stay
8,193,3,product,remote,stay
1,155,,sales,remote,stay
0,208,4,support,remote,stay
2,177,3,sales,remote,stay
2,203,3,product,remote,stay
5,219,3,engineering,remote,stay
1,209,4,engineering,office,stay
2,173,3,engineering,remote,stay
2,236,2,engineering,remote,leave
5,220,5,product,hybrid,stay
1,185,3,product,office,stay
2,200,3,operations,remote,stay
2,238,4,,remote,stay
4,197,2,product,remote,stay
2,162,,operations,hybrid,stay
3,169,3,support,hybrid,stay
2,179,5,support,office,stay
1,181,3,product,remote,stay
1,185,2,sales,remote,stay
5,211,4,engineering,office,stay
2,192,4,engineering,office,stay
1,167,3,sales,hybrid,stay
0,161,3,product,office,stay
2,207,4,engineering,remote,stay
1,141,4,product,hybrid,stay
6,215,5,product,hybrid,stay
1,167,3,sales,hybrid,stay
0,211,3,product,remote,stay
6,207,5,sales,hybrid,stay
4,178,3,engineering,hybrid,stay
3,219,3,support,hybrid,leave
3,142,2,,hybrid,stay
1,228,3,support,hybrid,stay
0,173,3,engineering,remote,leave
3,188,3,operations,remote,leave
1,164,3,product,hybrid,stay
3,202,3,product,,stay
1,188,3,product,remote,stay
1,169,3,operations,office,stay
4,174,4,,remote,stay
0,168,2,sales,office,stay
4,198,4,engineering,office,stay
2,197,5,product,hybrid,stay
2,164,3,sales,office,stay
1,205,4,product,office,leave
3,,5,product,remote,stay
2,171,3,engineering,hybrid,stay
4,163,,operations,office,stay
3,184,3,engineering,office,stay
1,172,4,engineering,hybrid,stay
6,195,3,product,hybrid,leave
4,205,,operations,office,stay
3,211,4,support,office,leave
2,,2,sales,hybrid,leave
3,164,5,engineering,,stay
7,198,5,product,hybrid,stay
3,192,3,engineering,remote,stay
3,,2,operations,,stay
,157,4,sales,remote,stay
8,202,4,product,remote,stay
4,173,4,support,office,stay
0,142,3,sales,hybrid,stay
7,231,3,product,remote,stay
1,192,5,,remote,stay
5,212,3,,hybrid,stay
0,191,3,support,office,stay
4,197,3,product,remote,leave
5,226,5,sales,office,stay
7,185,3,engineering,hybrid,stay
1,,2,operations,office,leave
4,204,3,product,remote,stay
2,175,2,operations,hybrid,stay
4,201,4,engineering,office,stay
4,180,5,operations,office,stay
2,192,5,support,hybrid,stay
1,185,4,operations,office,leave
1,208,4,sales,remote,stay
2,164,3,engineering,remote,stay
4,195,3,support,hybrid,leave
0,172,2,support,hybrid,stay
0,184,4,operations,hybrid,leave
3,188,5,support,remote,stay
2,235,2,,office,leave
2,186,2,product,office,stay
1,215,4,product,,stay
0,208,5,support,hybrid,leave
3,196,4,product,office,stay
3,184,4,engineering,office,stay
2,,3,operations,remote,stay
0,178,5,product,hybrid,leave
3,214,4,product,hybrid,leave
1,217,1,operations,remote,leave
3,169,4,product,office,stay
0,213,3,support,remote,leave
4,201,4,operations,office,stay
2,169,2,sales,remote,leave
3,176,4,support,hybrid,stay
0,191,5,product,office,stay
8,197,,product,remote,stay
1,160,2,engineering,hybrid,leave
2,156,3,sales,office,stay
4,210,4,engineering,remote,stay
1,191,4,sales,hybrid,stay
1,204,3,engineering,office,leave
