employee_id,years_experience,education_level,department,location,performance_rating,certifications,remote_status,annual_salary
EMP0001,7,phd,engineering,pune,3,4,remote,138494
EMP0002,12,master,finance,bengaluru,2,4,hybrid,135450
EMP0003,22,phd,product,mumbai,5,4,onsite,194529
EMP0004,5,phd,sales,bengaluru,5,0,remote,125601
EMP0005,6,phd,operations,bengaluru,4,3,onsite,122766
EMP0006,6,phd,sales,delhi,2,4,hybrid,126808
EMP0007,14,phd,engineering,delhi,5,2,hybrid,167437
EMP0008,2,high_school,finance,hyderabad,4,0,onsite,78092
EMP0009,22,high_school,operations,pune,1,4,onsite,138921
EMP0010,9,phd,product,mumbai,3,0,hybrid,142286
EMP0011,5,high_school,finance,mumbai,1,0,onsite,89747
EMP0012,10,master,engineering,hyderabad,1,3,hybrid,131079
EMP0013,9,master,product,bengaluru,4,4,onsite,135610
EMP0014,20,phd,finance,delhi,1,4,remote,168840
EMP0015,16,bachelor,engineering,bengaluru,4,4,hybrid,151676
EMP0016,9,bachelor,sales,pune,4,1,remote,115163
EMP0017,18,bachelor,engineering,mumbai,4,4,remote,168383
EMP0018,3,bachelor,finance,hyderabad,2,0,onsite,84145
EMP0019,2,phd,sales,delhi,2,2,remote,114760
EMP0020,22,master,sales,pune,1,0,remote,152963
EMP0021,6,high_school,product,mumbai,2,4,remote,114215
EMP0022,19,master,sales,bengaluru,2,3,hybrid,159832
EMP0023,11,high_school,finance,hyderabad,3,3,remote,115234
EMP0024,22,high_school,operations,bengaluru,2,2,remote,143873
EMP0025,22,phd,product,pune,2,3,onsite,179693
EMP0026,4,bachelor,product,pune,5,3,hybrid,106791
EMP0027,24,phd,engineering,pune,1,3,hybrid,190599
EMP0028,1,high_school,product,pune,4,0,remote,84827
EMP0029,8,master,sales,hyderabad,1,1,hybrid,110149
EMP0030,17,phd,product,bengaluru,3,3,onsite,163741
EMP0031,3,phd,,pune,1,3,hybrid,111327
EMP0032,17,phd,finance,hyderabad,5,1,hybrid,158078
EMP0033,13,high_school,engineering,delhi,1,4,onsite,128051
EMP0034,23,bachelor,product,delhi,2,4,remote,167116
EMP0035,8,high_school,engineering,bengaluru,4,4,remote,121246
EMP0036,1,high_school,finance,hyderabad,3,4,hybrid,84436
EMP0037,12,phd,sales,pune,4,2,hybrid,143017
EMP0038,14,master,sales,pune,5,1,onsite,134243
EMP0039,15,master,finance,bengaluru,4,3,remote,145853
EMP0040,15,high_school,sales,mumbai,,2,hybrid,123955
EMP0041,13,phd,,pune,3,0,onsite,143079
EMP0042,12,master,finance,bengaluru,1,1,onsite,123584
EMP0043,21,phd,sales,hyderabad,1,0,onsite,162081
EMP0044,11,,sales,bengaluru,1,1,hybrid,111315
EMP0045,8,bachelor,finance,mumbai,5,3,remote,120061
EMP0046,8,bachelor,finance,hyderabad,4,2,remote,108097
EMP0047,4,phd,operations,delhi,1,1,remote,113700
EMP0048,11,bachelor,finance,bengaluru,2,0,onsite,115094
EMP0049,20,high_school,finance,pune,4,3,hybrid,142384
EMP0050,6,bachelor,operations,hyderabad,2,0,onsite,93406
EMP0051,24,master,product,hyderabad,3,2,remote,174946
EMP0052,16,phd,product,bengaluru,4,0,hybrid,157961
EMP0053,23,high_school,operations,pune,1,0,hybrid,129286
EMP0054,18,master,sales,pune,5,1,onsite,152027
EMP0055,4,bachelor,finance,bengaluru,1,4,hybrid,95175
EMP0056,20,high_school,engineering,mumbai,4,0,remote,156512
EMP0057,3,high_school,operations,bengaluru,1,2,remote,76746
EMP0058,0,master,engineering,delhi,1,1,onsite,95834
EMP0059,5,high_school,operations,mumbai,3,3,onsite,92239
EMP0060,1,phd,operations,delhi,2,1,onsite,98259
EMP0061,8,master,engineering,pune,4,2,remote,133411
EMP0062,24,master,engineering,mumbai,5,1,remote,189830
EMP0063,16,,operations,mumbai,4,0,remote,141661
EMP0064,18,bachelor,operations,hyderabad,4,0,hybrid,136093
EMP0065,16,master,engineering,delhi,2,0,remote,154125
EMP0066,13,phd,sales,pune,3,3,hybrid,147282
EMP0067,20,bachelor,product,hyderabad,3,2,remote,151333
EMP0068,5,phd,product,delhi,3,0,onsite,121845
