object_type,schema,table,name,definition
constraint,core,organizations,,CHECK (effective_to IS NULL OR effective_from IS NULL OR effective_to > effective_from)
constraint,core,department_service_lines,,"PRIMARY KEY(department_id,service_line_id)"
constraint,core,configurations,,"UNIQUE NULLS NOT DISTINCT(tenant_id,facility_id,namespace,config_key,valid_from)"
constraint,iam,role_permissions,,"PRIMARY KEY(role_id,permission_id)"
constraint,iam,user_roles,,"UNIQUE NULLS NOT DISTINCT(user_id,role_id,facility_id,department_id,valid_from)"
constraint,terminology,value_set_members,,"PRIMARY KEY(value_set_id,concept_id)"
constraint,workforce,practitioner_roles,,"UNIQUE NULLS NOT DISTINCT(practitioner_id,role_definition_id,facility_id,department_id,valid_from)"
constraint,workforce,staffing_pools,,"UNIQUE NULLS NOT DISTINCT(tenant_id,facility_id,name)"
constraint,workforce,staffing_pool_memberships,,"PRIMARY KEY(staffing_pool_id,practitioner_id,valid_from)"
constraint,capacity,capacity_profiles,,"UNIQUE NULLS NOT DISTINCT(tenant_id,facility_id,location_id,name,valid_from)"
constraint,capacity,bed_assignments,,"EXCLUDE USING gist(bed_id WITH =, tstzrange(starts_at,COALESCE(ends_at,'infinity'::timestamptz),'[)') WITH &&)"
constraint,capacity,devices,,"UNIQUE NULLS NOT DISTINCT(tenant_id,asset_tag)"
constraint,capacity,par_levels,,"UNIQUE NULLS NOT DISTINCT(inventory_item_id,facility_id,location_id,valid_from)"
constraint,clinical,patient_cohort_members,,"PRIMARY KEY(patient_cohort_id,patient_id,added_at)"
constraint,incident,incident_facilities,,"PRIMARY KEY(incident_id,facility_id)"
constraint,incident,task_dependencies,,"PRIMARY KEY(predecessor_task_id,successor_task_id)"
constraint,policy,policy_rule_set_links,,"PRIMARY KEY(policy_version_id,rule_set_id)"
constraint,policy,rule_parameter_overrides,,"UNIQUE NULLS NOT DISTINCT(rule_parameter_id,facility_id,department_id,incident_type_id,valid_from)"
constraint,policy,rule_dependencies,,"PRIMARY KEY(rule_id,depends_on_rule_id)"
constraint,integration,external_events,,"UNIQUE NULLS NOT DISTINCT(source_system_id,event_id)"
constraint,mcp,rate_limit_policies,,"UNIQUE NULLS NOT DISTINCT(tenant_id,name,scope_type,scope_identifier,method_pattern)"
constraint,comms,message_recipients,,"UNIQUE NULLS NOT DISTINCT(message_id,recipient_endpoint_id,recipient_user_id,recipient_practitioner_id)"
constraint,analytics,metric_definitions,,"UNIQUE NULLS NOT DISTINCT(tenant_id,metric_code)"
constraint,analytics,data_quality_rules,,"UNIQUE NULLS NOT DISTINCT(tenant_id,rule_code)"
index,core,addresses,addresses_entity_idx,"CREATE INDEX addresses_entity_idx ON core.addresses(tenant_id,entity_type,entity_id);"
index,terminology,concepts,concepts_display_trgm_idx,CREATE INDEX concepts_display_trgm_idx ON terminology.concepts USING gin(display gin_trgm_ops);
index,capacity,bed_status_events,bed_status_events_bed_time_idx,"CREATE INDEX bed_status_events_bed_time_idx ON capacity.bed_status_events(bed_id,occurred_at DESC);"
index,clinical,queue_entries,queue_entries_active_idx,"CREATE INDEX queue_entries_active_idx ON clinical.queue_entries(queue_definition_id,entered_at) WHERE exited_at IS NULL;"
index,incident,approvals,incident_approvals_subject_idx,"CREATE INDEX incident_approvals_subject_idx ON incident.approvals(subject_type,subject_id);"
index,incident,timeline_events,timeline_events_incident_time_idx,"CREATE INDEX timeline_events_incident_time_idx ON incident.timeline_events(incident_id,occurred_at DESC);"
