survived,passenger_class,sex,age,siblings_spouses,parents_children,fare,embarkation_port
1,first,female,29,0,0,211.3375,southampton
1,first,male,0.9167,1,2,151.55,southampton
0,first,female,2,1,2,151.55,southampton
0,first,male,30,1,2,151.55,southampton
0,first,female,25,1,2,151.55,southampton
1,first,male,48,0,0,26.55,southampton
1,first,female,63,1,0,77.9583,southampton
0,first,male,39,0,0,0,southampton
1,first,female,53,2,0,51.4792,southampton
0,first,male,71,0,0,49.5042,cherbourg
0,first,male,47,1,0,227.525,cherbourg
1,first,female,18,1,0,227.525,cherbourg
1,first,female,24,0,0,69.3,cherbourg
1,first,female,26,0,0,78.85,southampton
1,first,male,80,0,0,30,southampton
0,first,male,,0,0,25.925,southampton
0,first,male,24,0,1,247.5208,cherbourg
1,first,female,50,0,1,247.5208,cherbourg
1,first,female,32,0,0,76.2917,cherbourg
0,first,male,36,0,0,75.2417,cherbourg
1,first,male,37,1,1,52.5542,southampton
1,first,female,47,1,1,52.5542,southampton
1,first,male,26,0,0,30,cherbourg
1,first,female,42,0,0,227.525,cherbourg
1,first,female,29,0,0,221.7792,southampton
0,first,male,25,0,0,26,cherbourg
1,first,male,25,1,0,91.0792,cherbourg
1,first,female,19,1,0,91.0792,cherbourg
1,first,female,35,0,0,135.6333,southampton
1,first,male,28,0,0,26.55,southampton
0,first,male,45,0,0,35.5,southampton
1,first,male,40,0,0,31,cherbourg
1,first,female,30,0,0,164.8667,southampton
1,first,female,58,0,0,26.55,southampton
0,first,male,42,0,0,26.55,southampton
1,first,female,45,0,0,262.375,cherbourg
1,first,female,22,0,1,55,southampton
1,first,male,,0,0,26.55,southampton
0,first,male,41,0,0,30.5,southampton
0,first,male,48,0,0,50.4958,cherbourg
0,first,male,,0,0,39.6,cherbourg
1,first,female,44,0,0,27.7208,cherbourg
1,first,female,59,2,0,51.4792,southampton
1,first,female,60,0,0,76.2917,cherbourg
1,first,female,41,0,0,134.5,cherbourg
0,first,male,45,0,0,26.55,southampton
0,first,male,,0,0,31,southampton
1,first,male,42,0,0,26.2875,southampton
1,first,female,53,0,0,27.4458,cherbourg
1,first,male,36,0,1,512.3292,cherbourg
1,first,female,58,0,1,512.3292,cherbourg
0,first,male,33,0,0,5,southampton
0,first,male,28,0,0,47.1,southampton
0,first,male,17,0,0,47.1,southampton
1,first,male,11,1,2,120,southampton
1,first,female,14,1,2,120,southampton
1,first,male,36,1,2,120,southampton
1,first,female,36,1,2,120,southampton
0,first,male,49,0,0,26,southampton
1,first,female,,0,0,27.7208,cherbourg
0,first,male,36,1,0,78.85,southampton
1,first,female,76,1,0,78.85,southampton
0,first,male,46,1,0,61.175,southampton
1,first,female,47,1,0,61.175,southampton
1,first,male,27,1,0,53.1,southampton
1,first,female,33,1,0,53.1,southampton
