schema,table,ordinal,column,type,nullable,default,primary_key,unique,references,definition
core,tenants,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,tenants,2,slug,citext,no,,no,yes,,slug citext NOT NULL UNIQUE
core,tenants,3,legal_name,core.nonempty_text,no,,no,no,,legal_name core.nonempty_text NOT NULL
core,tenants,4,display_name,core.nonempty_text,no,,no,no,,display_name core.nonempty_text NOT NULL
core,tenants,5,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,tenants,6,default_timezone,text,no,'UTC',no,no,,default_timezone text NOT NULL DEFAULT 'UTC'
core,tenants,7,default_locale,text,no,'en-US',no,no,,default_locale text NOT NULL DEFAULT 'en-US'
core,tenants,8,data_region,text,yes,,no,no,,data_region text
core,tenants,9,kms_key_reference,text,yes,,no,no,,kms_key_reference text
core,tenants,10,settings,jsonb,no,'{}',no,no,,settings jsonb NOT NULL DEFAULT '{}'
core,tenants,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,tenants,12,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
core,tenants,13,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
core,organizations,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,organizations,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,organizations,3,parent_organization_id,uuid,yes,,no,no,core.organizations(id),parent_organization_id uuid REFERENCES core.organizations(id)
core,organizations,4,organization_type,text,no,,no,no,,organization_type text NOT NULL
core,organizations,5,legal_name,core.nonempty_text,no,,no,no,,legal_name core.nonempty_text NOT NULL
core,organizations,6,display_name,core.nonempty_text,no,,no,no,,display_name core.nonempty_text NOT NULL
core,organizations,7,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,organizations,8,npi,text,yes,,no,no,,npi text
core,organizations,9,accreditation_body,text,yes,,no,no,,accreditation_body text
core,organizations,10,accreditation_identifier,text,yes,,no,no,,accreditation_identifier text
core,organizations,11,effective_from,timestamptz,yes,,no,no,,effective_from timestamptz
core,organizations,12,effective_to,timestamptz,yes,,no,no,,effective_to timestamptz
core,organizations,13,metadata,jsonb,no,'{}',no,no,,metadata jsonb NOT NULL DEFAULT '{}'
core,organizations,14,created_by,uuid,yes,,no,no,,created_by uuid
core,organizations,15,updated_by,uuid,yes,,no,no,,updated_by uuid
core,organizations,16,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,organizations,17,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
core,organizations,18,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
core,organizations,19,"UNIQUE(tenant_id,id)",,yes,,no,yes,,"UNIQUE(tenant_id,id)"
core,organization_identifiers,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,organization_identifiers,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,organization_identifiers,3,organization_id,uuid,no,,no,no,core.organizations(id),organization_id uuid NOT NULL REFERENCES core.organizations(id) ON DELETE CASCADE
core,organization_identifiers,4,system_uri,text,no,,no,no,,system_uri text NOT NULL
core,organization_identifiers,5,identifier_value,text,no,,no,no,,identifier_value text NOT NULL
core,organization_identifiers,6,identifier_value_hash,core.sha256_hex,yes,,no,no,,identifier_value_hash core.sha256_hex
core,organization_identifiers,7,identifier_type,text,yes,,no,no,,identifier_type text
core,organization_identifiers,8,use_code,text,yes,,no,no,,use_code text
core,organization_identifiers,9,valid_from,timestamptz,yes,,no,no,,valid_from timestamptz
core,organization_identifiers,10,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,organization_identifiers,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,organization_identifiers,12,"UNIQUE(tenant_id,system_uri,identifier_value)",,yes,,no,yes,,"UNIQUE(tenant_id,system_uri,identifier_value)"
core,organization_relationships,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,organization_relationships,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,organization_relationships,3,source_organization_id,uuid,no,,no,no,core.organizations(id),source_organization_id uuid NOT NULL REFERENCES core.organizations(id)
core,organization_relationships,4,target_organization_id,uuid,no,,no,no,core.organizations(id),target_organization_id uuid NOT NULL REFERENCES core.organizations(id)
core,organization_relationships,5,relationship_type,text,no,,no,no,,relationship_type text NOT NULL
core,organization_relationships,6,valid_from,timestamptz,no,now(),no,no,,valid_from timestamptz NOT NULL DEFAULT now()
core,organization_relationships,7,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,organization_relationships,8,terms,jsonb,no,'{}',no,no,,terms jsonb NOT NULL DEFAULT '{}'
core,organization_relationships,9,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,organization_relationships,10,CHECK(source_organization_id<>target_organization_id),,yes,,no,no,,CHECK(source_organization_id<>target_organization_id)
core,organization_relationships,11,CHECK(valid_to,IS,yes,,no,no,,CHECK(valid_to IS NULL OR valid_to>valid_from)
core,facilities,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,facilities,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,facilities,3,organization_id,uuid,no,,no,no,core.organizations(id),organization_id uuid NOT NULL REFERENCES core.organizations(id)
core,facilities,4,parent_facility_id,uuid,yes,,no,no,core.facilities(id),parent_facility_id uuid REFERENCES core.facilities(id)
core,facilities,5,facility_code,citext,no,,no,no,,facility_code citext NOT NULL
core,facilities,6,facility_type,text,no,,no,no,,facility_type text NOT NULL
core,facilities,7,name,core.nonempty_text,no,,no,no,,name core.nonempty_text NOT NULL
core,facilities,8,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,facilities,9,timezone,text,no,,no,no,,timezone text NOT NULL
core,facilities,10,trauma_level,text,yes,,no,no,,trauma_level text
core,facilities,11,teaching_status,text,yes,,no,no,,teaching_status text
core,facilities,12,licensed_bed_count,integer,yes,,no,no,,licensed_bed_count integer CHECK(licensed_bed_count>=0)
core,facilities,13,staffed_bed_count,integer,yes,,no,no,,staffed_bed_count integer CHECK(staffed_bed_count>=0)
core,facilities,14,latitude,"numeric(9,6)",yes,,no,no,,"latitude numeric(9,6)"
